Tipo de dato,Dirección,Dirección auxiliar,Tipo de vía,Nombre de la vía,Tipo de número,Número,Distrito,Código de distrito,Latitud (geo),Longitud (geo),X (UTM),Y (UTM),Google Maps,Día de la semana,Turno,Hora de inicio,Hora de fin,Residuos admisibles
Punto limpio móvil,"Calle Arrieta, 15",,Calle,Arrieta,P,15,Centro,1,40.41918013,-3.711069993,439675.8008,4474526.499,https://goo.gl/maps/w4y1woxHyhGsQCZv9,Martes,Mañana,10:30:00,12:00:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Calle Barquillo, 7",,Calle,Barquillo,P,7,Centro,1,40.42083,-3.69581,440971.8478,4474699.329,https://goo.gl/maps/hsHdwffQauSr7Y4aA,Sábado,Mañana,07:00:00,08:30:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Plaza Cebada, 5-7",,Plaza,Cebada,P,5-7,Centro,1,40.41132,-3.70927,439790.022,4473664.083,https://goo.gl/maps/5r6sz7QbmnXoXr8B9,Sábado,Tarde,14:00:00,15:30:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Calle Conde Duque, 30",,Calle,Conde Duque,P,30,Centro,1,40.42779649,-3.710134496,439762.852,4475482.275,https://goo.gl/maps/jGjBMu8PS57ZCmaG9,Martes,Mañana,07:00:00,08:30:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Glorieta Embajadores, 10",Esquina Calle Embajadores,Glorieta,Embajadores,P,10,Centro,1,40.40532,-3.70286,440360.0731,4472982.46,https://goo.gl/maps/Q1UWpobP3KfTyDSh8,Sábado,Tarde,17:30:00,19:00:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Calle Espíritu Santo, 26",Entre los números 26 y 28 (zona de carga y descarga),Calle,Espíritu Santo,P,26,Centro,1,40.42546013,-3.703639993,440311.6872,4475218.531,https://goo.gl/maps/uWkwCSk8FyKt47k3A,Sábado,Tarde,15:45:00,17:15:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Plaza Lavapiés, 8",Zona de carga y descarga,Plaza,Lavapiés,P,8,Centro,1,40.40868013,-3.701249994,440499.6469,4473354.346,,Sábado,Tarde,15:45:00,17:15:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,Calle Lope de Vega,Frente al número 36,Calle,Lope de Vega,P,S/N,Centro,1,40.41438013,-3.697449994,440827.0687,4473984.492,https://goo.gl/maps/EFj65q8ucc6CY2Et7,Sábado,Mañana,08:45:00,10:15:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Plaza Mayor, 29-30",Salida Calle Ciudad Rodrigo,Plaza,Mayor,P,29-30,Centro,1,40.41574723,-3.706902053,440026.346,4474142.611,,Sábado,Mañana,10:30:00,12:00:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Calle Príncipe, 18",,Calle,Príncipe,P,18,Centro,1,40.41528547,-3.700364984,440580.55,4474086.94,https://goo.gl/maps/KiKKZ6x7jNVcx49DA,Martes,Tarde,15:45:00,17:15:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Calle Ribera de Curtidores, 37A, 37B y 37C",,Calle,Ribera de Curtidores,P,"37A, 37B y 37C",Centro,1,40.40656682,-3.707154966,439996.735,4473123.762,https://goo.gl/maps/jKvzJjt2WLoBHpaP6,Martes,Tarde,19:15:00,20:45:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Glorieta Ruíz Jiménez, 8",,Glorieta,Ruíz Jiménez,P,8,Centro,1,40.42924193,-3.705722844,440138.355,4475639.72,https://goo.gl/maps/jC96v18jidiyDNcG6,Martes,Mañana,08:45:00,10:15:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Plaza Santa Bárbara, 5",,Plaza,Santa Bárbara,P,5,Centro,1,40.42748313,-3.696388041,440928.63,4475438.21,,Martes,Tarde,14:00:00,15:30:00,http://run.gob.es/PuntoMOVILResiduos
Punto limpio móvil,"Calle Santa Isabel, 47",,Calle,Santa Isabel,P,47,Centro,1,40.40958069,-3.696127206,440935.101,4473450.872,https://goo.gl/maps/jrMy4KLHSRpFJicAA,Martes,Mañana,12:15:00,13:45:00,http://run.gob.es/PuntoMOVILResiduos
