Identificador,Nombre,Descripción,Teléfono,Titularidad pública,Horas de apertura,Dirección,Distrito,Código postal,Latitud (geo),Longitud (geo),UTM,Fecha de creación,Fecha de última actualización
2503,Punto limpio fijo Cogullada,"¿CÓMO UTILIZAREMOS EL PUNTO LIMPIO ?
Para poder utilizar el punto limpio habrá que tener en cuenta varios aspectos:
• Solo se admitirán residuos generados por particulares.
• No se podrán verter residuos peligrosos. Solo se recogerán las pilas usadas.
• El usuario si va a depositar más de un residuo lo deberá hacer por separado para poder depositarlo en su contenedor correspondiente.
• Se deberá cumplimentar el documento que nos facilitará el operario.
Una vez se haya llegado al punto limpio un operario informará en que contenedor se debe depositar los residuos. Se puede acceder tanto a pie como en el vehículo particular (que no debe exceder de 3500 kg. de tara) y cómodamente situarse junto al contenedor marcado con el nombre del residuo a verter.",615812503,true,"De lunes a sábado (incluso festivos) de 7:30 a 20:30 h.
Domingos de 8:00 a 14:30 h.","Polígono de Cogullada, con Calle Nuestra Señora de Lagunas",El Rabal,50014,41.67737429730341,-0.8566459744789225,"678514.4000017886,4616385.219997627",2008-01-10T02:00:00Z,2023-09-26T14:48:30Z
10229,Punto limpio móvil Actur 3,"El Ayuntamiento de Zaragoza dispone de los Puntos Limpios Móviles, un cómodo servicio de recogida de residuos domésticos que facilita que su reciclado o tratamiento sea cada vez más fácil.
Son camiones con contenedores especiales donde puede depositar los residuos domésticos indicados.
Estos camiones siguen una ruta establecida por todos los barrios de la ciudad y se estacionan en paradas perfectamente identificadas en la vía pública.
Existen 69 paradas de puntos limpios móviles, que prestan un servicio de lunes a domingo en toda la ciudad y sus barrios rurales.
QUÉ PRODUCTOS RECOGE
• Envases que hayan contenido: colas, barnices, disolventes insecticidas, pinturas...
• Lámparas fluorescentes
• Pilas
• Aceite vegetal doméstico
• Residuos eléctricos y electrónicos de pequeño tamaño: maquinillas de afeitar, batidoras, tostadoras...
• Ropa usada
• Baterías automóvil (1 unidad por persona y día)
• Pinturas, colas y barnices (se admitirán en el recipiente original, tapado y un máximo de 1 lata por persona y día; el volumen máximo de la lata será de 25 litros)
• Termómetros de mercurio (1 unidad por persona y día)
• Cartuchos de tóner y tinta de impresión (se admitirán, como máximo, 1 cartucho de tóner y 4 cartuchos de tinta por persona y día)
• Disolventes (solo se admitirán en su recipiente original, tapado y un máximo de 1 envase por persona y día de hasta 5 litros de capacidad)
• Insecticidas en polvo (únicamente se admitirán en su recipiente original, cerrado y un máximo de 1 envase por persona y día de hasta 1 litro de capacidad)
• Agujas hipodérmicas (solo se admitirán encapuchadas y deberán ser introducidas en el recipiente por el propio usuario; se admitirán un máximo de 10 jeringuillas por persona y día)",,true,Miércoles y sábados de 8:30 a 9:45 h.,"Andador Rafaela Aparicio, con pista deportiva",Actur-Rey Fernando,50018,41.66317511000495,-0.8857605192710251,"676129.5800016652,4614748.719997811",2012-07-04T08:00:00Z,2025-05-15T12:59:06Z
10239,Punto limpio móvil Delicias 1,"El Ayuntamiento de Zaragoza dispone de los Puntos Limpios Móviles, un cómodo servicio de recogida de residuos domésticos que facilita que su reciclado o tratamiento sea cada vez más fácil.
Son camiones con contenedores especiales donde puede depositar los residuos domésticos indicados.
Estos camiones siguen una ruta establecida por todos los barrios de la ciudad y se estacionan en paradas perfectamente identificadas en la vía pública.
Existen 69 paradas de puntos limpios móviles, que prestan un servicio de lunes a domingo en toda la ciudad y sus barrios rurales.
QUÉ PRODUCTOS RECOGE
• Envases que hayan contenido: colas, barnices, disolventes insecticidas, pinturas...
• Lámparas fluorescentes
• Pilas
• Aceite vegetal doméstico
• Residuos eléctricos y electrónicos de pequeño tamaño: maquinillas de afeitar, batidoras, tostadoras...
• Ropa usada
• Baterías automóvil (1 unidad por persona y día)
• Pinturas, colas y barnices (se admitirán en el recipiente original, tapado y un máximo de 1 lata por persona y día; el volumen máximo de la lata será de 25 litros)
• Termómetros de mercurio (1 unidad por persona y día)
• Cartuchos de tóner y tinta de impresión (se admitirán, como máximo, 1 cartucho de tóner y 4 cartuchos de tinta por persona y día)
• Disolventes (solo se admitirán en su recipiente original, tapado y un máximo de 1 envase por persona y día de hasta 5 litros de capacidad)
• Insecticidas en polvo (únicamente se admitirán en su recipiente original, cerrado y un máximo de 1 envase por persona y día de hasta 1 litro de capacidad)
• Agujas hipodérmicas (solo se admitirán encapuchadas y deberán ser introducidas en el recipiente por el propio usuario; se admitirán un máximo de 10 jeringuillas por persona y día)",,true,Miércoles y sábados de 18:30 a 19:45 h.,"Avenida Navarra, 93",Delicias,50017,41.65567917152834,-0.9099613347076283,"674134.8300015673,4613867.239997963",2012-07-04T08:00:00Z,2025-05-15T13:06:47Z
10255,Punto limpio móvil Casetas,"El Ayuntamiento de Zaragoza dispone de los Puntos Limpios Móviles, un cómodo servicio de recogida de residuos domésticos que facilita que su reciclado o tratamiento sea cada vez más fácil.
Son camiones con contenedores especiales donde puede depositar los residuos domésticos indicados.
Estos camiones siguen una ruta establecida por todos los barrios de la ciudad y se estacionan en paradas perfectamente identificadas en la vía pública.
Existen 69 paradas de puntos limpios móviles, que prestan un servicio de lunes a domingo en toda la ciudad y sus barrios rurales.
QUÉ PRODUCTOS RECOGE
• Envases que hayan contenido: colas, barnices, disolventes insecticidas, pinturas...
• Lámparas fluorescentes
• Pilas
• Aceite vegetal doméstico
• Residuos eléctricos y electrónicos de pequeño tamaño: maquinillas de afeitar, batidoras, tostadoras...
• Ropa usada
• Baterías automóvil (1 unidad por persona y día)
• Pinturas, colas y barnices (se admitirán en el recipiente original, tapado y un máximo de 1 lata por persona y día; el volumen máximo de la lata será de 25 litros)
• Termómetros de mercurio (1 unidad por persona y día)
• Cartuchos de tóner y tinta de impresión (se admitirán, como máximo, 1 cartucho de tóner y 4 cartuchos de tinta por persona y día)
• Disolventes (solo se admitirán en su recipiente original, tapado y un máximo de 1 envase por persona y día de hasta 5 litros de capacidad)
• Insecticidas en polvo (únicamente se admitirán en su recipiente original, cerrado y un máximo de 1 envase por persona y día de hasta 1 litro de capacidad)
• Agujas hipodérmicas (solo se admitirán encapuchadas y deberán ser introducidas en el recipiente por el propio usuario; se admitirán un máximo de 10 jeringuillas por persona y día)",,true,"Lunes y jueves de 8:30 a 10:30 h.
Domingos de 8:30 a 10:00 h.","Plaza Santiago Castillo, 4",Casetas,50620,41.71898599082284,-1.027765165617607,"664164.3900011496,4620664.899998554",2012-07-04T08:00:00Z,2025-05-15T13:09:34Z
10260,Punto limpio móvil Montañana,"El Ayuntamiento de Zaragoza dispone de los Puntos Limpios Móviles, un cómodo servicio de recogida de residuos domésticos que facilita que su reciclado o tratamiento sea cada vez más fácil.
Son camiones con contenedores especiales donde puede depositar los residuos domésticos indicados.
Estos camiones siguen una ruta establecida por todos los barrios de la ciudad y se estacionan en paradas perfectamente identificadas en la vía pública.
Existen 69 paradas de puntos limpios móviles, que prestan un servicio de lunes a domingo en toda la ciudad y sus barrios rurales.
QUÉ PRODUCTOS RECOGE
• Envases que hayan contenido: colas, barnices, disolventes insecticidas, pinturas...
• Lámparas fluorescentes
• Pilas
• Aceite vegetal doméstico
• Residuos eléctricos y electrónicos de pequeño tamaño: maquinillas de afeitar, batidoras, tostadoras...
• Ropa usada
• Baterías automóvil (1 unidad por persona y día)
• Pinturas, colas y barnices (se admitirán en el recipiente original, tapado y un máximo de 1 lata por persona y día; el volumen máximo de la lata será de 25 litros)
• Termómetros de mercurio (1 unidad por persona y día)
• Cartuchos de tóner y tinta de impresión (se admitirán, como máximo, 1 cartucho de tóner y 4 cartuchos de tinta por persona y día)
• Disolventes (solo se admitirán en su recipiente original, tapado y un máximo de 1 envase por persona y día de hasta 5 litros de capacidad)
• Insecticidas en polvo (únicamente se admitirán en su recipiente original, cerrado y un máximo de 1 envase por persona y día de hasta 1 litro de capacidad)
• Agujas hipodérmicas (solo se admitirán encapuchadas y deberán ser introducidas en el recipiente por el propio usuario; se admitirán un máximo de 10 jeringuillas por persona y día)",,true,Martes y viernes de 10:45 a 12:15 h.,"Calle María Pilar del Real Castillo, esquina con Amado M. Arruga (frente al Pabellón Municipal)",La Almozara,50059,41.686062145895484,-0.8242667384781558,"681185.3200019352,4617417.479997405",2012-07-04T08:00:00Z,2025-05-15T12:57:18Z
10261,Punto limpio móvil Movera 2,"El Ayuntamiento de Zaragoza dispone de los Puntos Limpios Móviles, un cómodo servicio de recogida de residuos domésticos que facilita que su reciclado o tratamiento sea cada vez más fácil.
Son camiones con contenedores especiales donde puede depositar los residuos domésticos indicados.
Estos camiones siguen una ruta establecida por todos los barrios de la ciudad y se estacionan en paradas perfectamente identificadas en la vía pública.
Existen 69 paradas de puntos limpios móviles, que prestan un servicio de lunes a domingo en toda la ciudad y sus barrios rurales.
QUÉ PRODUCTOS RECOGE
• Envases que hayan contenido: colas, barnices, disolventes insecticidas, pinturas...
• Lámparas fluorescentes
• Pilas
• Aceite vegetal doméstico
• Residuos eléctricos y electrónicos de pequeño tamaño: maquinillas de afeitar, batidoras, tostadoras...
• Ropa usada
• Baterías automóvil (1 unidad por persona y día)
• Pinturas, colas y barnices (se admitirán en el recipiente original, tapado y un máximo de 1 lata por persona y día; el volumen máximo de la lata será de 25 litros)
• Termómetros de mercurio (1 unidad por persona y día)
• Cartuchos de tóner y tinta de impresión (se admitirán, como máximo, 1 cartucho de tóner y 4 cartuchos de tinta por persona y día)
• Disolventes (solo se admitirán en su recipiente original, tapado y un máximo de 1 envase por persona y día de hasta 5 litros de capacidad)
• Insecticidas en polvo (únicamente se admitirán en su recipiente original, cerrado y un máximo de 1 envase por persona y día de hasta 1 litro de capacidad)
• Agujas hipodérmicas (solo se admitirán encapuchadas y deberán ser introducidas en el recipiente por el propio usuario; se admitirán un máximo de 10 jeringuillas por persona y día)",,true,Martes y viernes de 13:10 a 14:00 h.,"Avenida de Movera, 412",Santa Isabel,50194,41.64841185290822,-0.8211922281707638,"681547.0000019541,4613243.559997386",2012-07-04T08:00:00Z,2025-05-15T13:12:14Z
10262,Punto limpio móvil Movera 1,"El Ayuntamiento de Zaragoza dispone de los Puntos Limpios Móviles, un cómodo servicio de recogida de residuos domésticos que facilita que su reciclado o tratamiento sea cada vez más fácil.
Son camiones con contenedores especiales donde puede depositar los residuos domésticos indicados.
Estos camiones siguen una ruta establecida por todos los barrios de la ciudad y se estacionan en paradas perfectamente identificadas en la vía pública.
Existen 69 paradas de puntos limpios móviles, que prestan un servicio de lunes a domingo en toda la ciudad y sus barrios rurales.
QUÉ PRODUCTOS RECOGE
• Envases que hayan contenido: colas, barnices, disolventes insecticidas, pinturas...
• Lámparas fluorescentes
• Pilas
• Aceite vegetal doméstico
• Residuos eléctricos y electrónicos de pequeño tamaño: maquinillas de afeitar, batidoras, tostadoras...
• Ropa usada
• Baterías automóvil (1 unidad por persona y día)
• Pinturas, colas y barnices (se admitirán en el recipiente original, tapado y un máximo de 1 lata por persona y día; el volumen máximo de la lata será de 25 litros)
• Termómetros de mercurio (1 unidad por persona y día)
• Cartuchos de tóner y tinta de impresión (se admitirán, como máximo, 1 cartucho de tóner y 4 cartuchos de tinta por persona y día)
• Disolventes (solo se admitirán en su recipiente original, tapado y un máximo de 1 envase por persona y día de hasta 5 litros de capacidad)
• Insecticidas en polvo (únicamente se admitirán en su recipiente original, cerrado y un máximo de 1 envase por persona y día de hasta 1 litro de capacidad)
• Agujas hipodérmicas (solo se admitirán encapuchadas y deberán ser introducidas en el recipiente por el propio usuario; se admitirán un máximo de 10 jeringuillas por persona y día)",,true,Martes y viernes de 12:35 a 13:10 h.,Calle Hondos del Tejar (frente a Urbanización Virreina),Movera,50194,41.652625865905335,-0.8305284720244576,"680757.7000019096,4613691.819997452",2012-07-04T08:00:00Z,2025-05-15T13:12:44Z
2501,Punto limpio fijo Universidad-Delicias,"¿CÓMO UTILIZAREMOS EL PUNTO LIMPIO ?
Para poder utilizar el punto limpio habrá que tener en cuenta varios aspectos:
• Solo se admitirán residuos generados por particulares.
• No se podrán verter residuos peligrosos. Solo se recogerán las pilas usadas.
• El usuario si va a depositar más de un residuo lo deberá hacer por separado para poder depositarlo en su contenedor correspondiente.
• Se deberá cumplimentar el documento que nos facilitará el operario.
Una vez se haya llegado al punto limpio un operario informará en que contenedor se debe depositar los residuos. Se puede acceder tanto a pie como en el vehículo particular (que no debe exceder de 3500 kg. de tara) y cómodamente situarse junto al contenedor marcado con el nombre del residuo a verter.",608268038,true,"De lunes a sábado (incluso festivos) de 7:30 a 20:30 h.
Domingos de 8:00 a 14:30 h.",Avenida Gómez Laguna (Cooperativa Taxi),Universidad,50005,41.633330338315105,-0.9244846982669331,"672985.270001513,4611356.579998049",2008-01-10T04:00:00Z,2026-03-16T10:57:59Z
29790,Punto limpio móvil Las Fuentes 3,"El Ayuntamiento de Zaragoza dispone de los Puntos Limpios Móviles, un cómodo servicio de recogida de residuos domésticos que facilita que su reciclado o tratamiento sea cada vez más fácil.
Son camiones con contenedores especiales donde puede depositar los residuos domésticos indicados.
Estos camiones siguen una ruta establecida por todos los barrios de la ciudad y se estacionan en paradas perfectamente identificadas en la vía pública.
Existen 69 paradas de puntos limpios móviles, que prestan un servicio de lunes a domingo en toda la ciudad y sus barrios rurales.
QUÉ PRODUCTOS RECOGE
• Envases que hayan contenido: colas, barnices, disolventes insecticidas, pinturas...
• Lámparas fluorescentes
• Pilas
• Aceite vegetal doméstico
• Residuos eléctricos y electrónicos de pequeño tamaño: maquinillas de afeitar, batidoras, tostadoras...
• Ropa usada
• Baterías automóvil (1 unidad por persona y día)
• Pinturas, colas y barnices (se admitirán en el recipiente original, tapado y un máximo de 1 lata por persona y día; el volumen máximo de la lata será de 25 litros)
• Termómetros de mercurio (1 unidad por persona y día)
• Cartuchos de tóner y tinta de impresión (se admitirán, como máximo, 1 cartucho de tóner y 4 cartuchos de tinta por persona y día)
• Disolventes (solo se admitirán en su recipiente original, tapado y un máximo de 1 envase por persona y día de hasta 5 litros de capacidad)
• Insecticidas en polvo (únicamente se admitirán en su recipiente original, cerrado y un máximo de 1 envase por persona y día de hasta 1 litro de capacidad)
• Agujas hipodérmicas (solo se admitirán encapuchadas y deberán ser introducidas en el recipiente por el propio usuario; se admitirán un máximo de 10 jeringuillas por persona y día)",,true,Lunes y jueves de 13:00 a 14:15 h.,"Plaza Vicente Cazcarra, con Calle María de Aragón",Las Fuentes,50013,41.640383789540245,-0.8632172100814298,"678069.3100017637,4612264.499997677",2023-06-22T12:37:00Z,2023-09-26T14:48:30Z
29791,Punto limpio móvil Miralbueno 2,"El Ayuntamiento de Zaragoza dispone de los Puntos Limpios Móviles, un cómodo servicio de recogida de residuos domésticos que facilita que su reciclado o tratamiento sea cada vez más fácil.
Son camiones con contenedores especiales donde puede depositar los residuos domésticos indicados.
Estos camiones siguen una ruta establecida por todos los barrios de la ciudad y se estacionan en paradas perfectamente identificadas en la vía pública.
Existen 69 paradas de puntos limpios móviles, que prestan un servicio de lunes a domingo en toda la ciudad y sus barrios rurales.
QUÉ PRODUCTOS RECOGE
• Envases que hayan contenido: colas, barnices, disolventes insecticidas, pinturas...
• Lámparas fluorescentes
• Pilas
• Aceite vegetal doméstico
• Residuos eléctricos y electrónicos de pequeño tamaño: maquinillas de afeitar, batidoras, tostadoras...
• Ropa usada
• Baterías automóvil (1 unidad por persona y día)
• Pinturas, colas y barnices (se admitirán en el recipiente original, tapado y un máximo de 1 lata por persona y día; el volumen máximo de la lata será de 25 litros)
• Termómetros de mercurio (1 unidad por persona y día)
• Cartuchos de tóner y tinta de impresión (se admitirán, como máximo, 1 cartucho de tóner y 4 cartuchos de tinta por persona y día)
• Disolventes (solo se admitirán en su recipiente original, tapado y un máximo de 1 envase por persona y día de hasta 5 litros de capacidad)
• Insecticidas en polvo (únicamente se admitirán en su recipiente original, cerrado y un máximo de 1 envase por persona y día de hasta 1 litro de capacidad)
• Agujas hipodérmicas (solo se admitirán encapuchadas y deberán ser introducidas en el recipiente por el propio usuario; se admitirán un máximo de 10 jeringuillas por persona y día)",,true,"Viernes de 13:00 a 14:15 h.
Domingos de 13:00 a 14:15 h.","Camino del Pilón, con Hipólito Lor Vicente",,50011,41.658584692839746,-0.9253247590126715,"672847.7600015074,4614158.909998049",2023-06-22T14:37:40Z,2025-05-15T13:00:49Z
